name,age,height,goal_keeper,central_defender,full_back,defensive_midfielder,wing_back,central_midfielder,wide_midfielder,attacking_midfielder,winger,striker,foot_right,foot_left,att_cor,att_cro,att_dri,att_fin,att_fir,att_fre,att_hea,att_lon,att_lth,att_mar,att_pas,att_pen,att_tck,att_tec,att_agg,att_ant,att_bra,att_cmp,att_cnt,att_dec,att_det,att_fla,att_ldr,att_otb,att_pos,att_tea,att_vis,att_wor,att_acc,att_agi,att_bal,att_jum,att_nat,att_pac,att_sta,att_str,att_aer,att_cmd,att_com,att_ecc,att_han,att_kic,att_1v1,att_pun,att_ref,att_tro,att_thr
Adam Thee,20,183,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,6,3,9,12,14,15,17,12,14,11,6,9,11,13,4,17,8,16,11,15,9,16,14,16,12,18,8,12,12,13,16,19,18,14,12,17,16,12,1,4,2,1,2,2,2,3,3,1,4
Nathan O'Connor,20,187,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,4,3,2,3,3,10,3,1,3,3,3,11,1,2,12,9,11,12,10,13,12,15,3,9,2,13,6,11,6,10,14,11,14,14,9,10,12,14,13,9,2,16,12,15,11,15,8,12
Gonzalo Mayoral,19,180,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,5,7,12,9,8,12,7,11,7,12,12,10,5,12,14,15,12,10,11,13,15,15,7,9,11,13,18,10,16,15,13,12,8,13,14,14,14,1,2,2,2,1,2,3,3,1,2,2
José Arce,21,186,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,6,4,11,9,16,9,15,13,6,10,8,7,12,11,8,18,8,14,12,18,9,16,13,16,14,16,8,16,17,14,11,13,15,16,12,11,13,12,2,2,3,3,3,1,3,3,2,3,2
Aykut Gökkaya,18,183,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,6,3,8,12,15,16,13,12,10,7,4,6,10,6,5,16,10,13,9,16,6,16,14,15,14,17,8,15,13,12,17,17,15,10,12,14,14,11,3,2,3,4,1,2,4,2,4,1,2
Daire Power,25,187,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,6,2,2,6,4,9,1,11,4,4,14,6,1,9,11,16,12,15,10,12,14,14,10,4,8,10,10,7,11,9,10,11,13,14,10,10,17,2,4,1,1,3,1,3,2,4,1,3
Dionisio Peinado,21,171,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,6,6,9,4,11,11,12,9,6,6,1,6,12,5,3,14,11,10,6,12,6,10,13,15,10,15,7,7,15,7,10,14,14,6,14,12,12,12,1,1,2,2,4,1,2,2,2,2,1
Gonzalo Jiménez,21,177,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,6,6,6,14,15,15,6,9,5,2,6,12,7,3,13,11,13,7,13,13,15,14,13,10,15,7,14,13,13,15,16,16,6,13,16,14,12,3,2,2,2,3,3,2,2,2,3,2
Sreten Mitrečić,24,193,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,6,3,8,7,6,7,3,9,7,3,13,8,3,12,9,14,10,12,9,11,13,10,7,5,7,9,5,9,10,8,10,12,16,8,12,13,12,1,2,3,3,3,3,2,2,1,1,2
Rafa Camacho,21,177,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,6,5,3,12,12,6,10,3,11,5,2,3,10,3,7,15,7,7,7,11,5,8,13,14,13,9,4,6,4,9,12,16,10,3,8,15,14,8,4,3,2,1,1,1,1,2,3,4,1
Jan Fàbrega,19,184,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,5,6,7,12,14,14,12,8,5,7,3,3,11,6,3,14,10,11,7,12,7,9,16,18,6,13,3,9,11,13,14,16,11,14,12,13,16,8,3,3,4,1,1,3,1,1,1,1,2
Javier Barrenetxea,19,175,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4,6,3,4,9,4,6,1,5,5,8,10,8,2,11,10,5,12,8,6,11,12,16,3,6,9,7,14,9,10,13,12,11,6,10,10,15,11,3,2,2,1,2,2,3,3,3,2,3
Txomin Beitia,21,184,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,6,7,9,9,16,14,7,8,10,1,4,8,10,4,15,11,12,11,13,4,13,11,15,16,12,7,11,11,14,10,7,15,10,13,9,12,11,1,2,3,1,2,1,2,1,1,2,3
Stephane Verheyden,21,173,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,6,5,10,11,10,13,16,8,10,7,5,5,13,10,7,16,8,12,9,14,8,12,14,14,6,14,10,14,16,10,13,9,15,8,16,12,13,7,1,1,1,2,1,1,2,1,3,3,2
José Ramón Beldarrain,26,163,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,2,3,8,10,3,8,1,6,5,6,7,6,4,6,12,12,9,13,7,8,15,11,11,9,10,10,6,8,9,14,11,12,3,13,10,13,4,2,1,1,2,2,2,3,1,1,2,1
José Bilbao,32,170,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,3,6,5,10,10,9,9,6,9,10,4,5,14,7,7,12,13,10,7,12,7,13,11,12,16,8,5,15,14,10,9,8,9,4,16,7,9,7,3,3,3,3,3,4,2,2,3,2,3
Gaby Mbaizo,21,176,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,6,3,8,8,12,14,17,7,7,13,5,13,15,11,11,17,12,17,9,15,15,16,12,15,14,16,17,12,15,11,13,11,18,8,12,13,11,12,3,1,3,1,4,3,1,3,3,2,3
Ignacio Garitano,21,190,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,2,2,1,3,1,4,3,1,1,1,1,4,1,3,1,11,7,9,6,12,10,7,1,3,1,8,9,8,8,6,12,5,8,13,7,6,7,9,7,11,3,10,6,10,14,13,11,11
César Martín,21,183,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,4,6,1,8,4,1,6,1,2,1,2,1,5,1,1,10,12,8,10,7,2,9,9,5,11,10,1,13,5,14,10,8,14,12,8,9,11,7,3,1,3,1,3,1,3,2,3,3,1
Óscar Peña,21,187,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,2,6,1,12,12,3,8,1,3,2,1,4,6,1,1,9,11,13,9,9,4,12,11,12,12,11,3,11,4,8,13,14,16,11,13,14,13,8,1,4,2,1,2,2,1,3,3,1,3
Mikel Rodríguez,21,166,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,6,3,2,7,4,3,6,1,1,1,1,1,3,1,1,9,8,1,8,1,1,5,5,12,3,5,1,1,5,2,13,14,6,5,12,13,8,1,1,2,1,2,1,1,1,1,2,2,1
Christophe Conan,21,181,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,3,6,3,4,8,3,13,3,5,6,2,7,15,3,8,8,9,11,8,9,9,12,4,9,13,7,11,13,12,10,4,4,7,7,15,5,12,10,1,1,1,3,2,1,1,3,1,2,2
Kepa Zabala,21,177,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,3,6,2,6,14,14,14,2,6,7,2,3,8,2,2,10,11,13,5,13,4,12,11,12,17,13,2,11,10,8,11,14,13,4,12,14,12,5,2,1,2,3,2,2,2,1,1,1,2
Íñigo Goikoetxea,21,174,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,6,6,9,13,11,14,3,7,8,2,4,9,7,5,12,14,12,9,12,11,12,17,14,7,10,6,10,8,8,14,13,11,4,14,14,15,11,2,1,2,1,2,2,1,1,2,3,1
Aitor Franco,21,177,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,6,3,3,1,10,1,9,1,4,1,1,1,11,2,1,13,13,10,5,14,1,8,12,13,13,11,1,14,12,6,9,12,13,5,12,11,4,3,3,1,2,3,1,3,4,2,3,3,2
Alejandro Uriarte,21,172,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,4,6,4,1,5,2,12,4,2,4,1,6,15,2,7,11,11,7,17,3,10,11,16,6,13,4,5,12,12,9,6,6,4,5,15,6,9,5,3,2,3,1,4,2,1,2,1,2,2
Beñat Iriarte,21,181,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2,6,2,1,8,8,10,1,2,3,1,1,5,2,1,7,10,2,5,12,1,4,7,11,7,9,1,12,4,9,14,9,13,9,5,12,11,3,1,2,1,2,2,3,2,2,3,3,2
Jorge Iruarrizaga,21,178,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,6,4,6,4,12,15,10,2,7,3,1,1,8,2,1,13,13,11,9,17,2,10,7,14,8,13,3,6,7,2,16,13,15,3,4,12,2,2,4,1,3,3,2,3,2,1,2,1,1
Adrián Ruiz,21,184,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,3,6,9,6,12,10,12,10,6,8,5,8,12,7,4,15,15,12,8,17,7,15,11,15,14,12,9,11,14,12,13,15,13,14,14,12,13,12,1,1,1,2,1,3,2,1,1,1,3
Rubén Ruiz,16,165,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,3,3,9,7,2,7,2,5,3,3,6,9,3,7,12,10,7,14,7,5,13,13,8,12,11,8,12,9,11,15,14,9,4,14,12,13,6,3,1,1,1,1,1,1,3,2,3,2
José Alberto,16,167,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,6,3,8,10,10,14,9,4,8,4,3,5,13,5,5,14,10,9,15,9,6,7,12,13,4,12,3,6,8,11,14,15,11,4,12,13,11,4,1,1,2,2,3,2,1,3,2,2,3
Miguel Vera,16,174,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,6,4,5,9,11,6,14,7,5,7,3,5,12,3,8,10,9,8,6,9,6,9,11,10,2,10,3,15,7,10,13,15,8,6,13,12,10,6,2,2,3,3,4,2,2,3,3,1,2
Adrián Sola,15,182,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,6,4,5,8,8,14,11,5,11,8,7,4,9,11,7,14,7,13,17,11,5,12,13,13,7,11,4,12,9,10,9,10,11,10,11,10,8,9,1,1,1,3,2,3,3,2,1,1,2
Aitor Larrinaga,20,177,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,6,3,2,4,10,4,8,2,12,8,1,10,8,10,6,11,8,14,13,9,17,13,14,10,16,10,14,15,11,10,3,3,4,7,15,3,11,16,2,3,1,1,2,2,1,2,3,3,1
Fernando Zabala,20,176,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,6,4,3,3,5,2,9,4,1,3,1,4,7,1,4,10,16,9,7,10,3,9,5,11,10,9,5,11,8,9,6,12,11,2,11,10,6,5,2,2,2,1,2,1,3,1,2,2,2
Miguel Vázquez,20,172,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,6,4,1,5,12,9,14,4,6,9,1,2,9,3,1,15,7,14,4,15,3,15,18,13,17,14,3,8,14,7,8,13,13,5,13,11,6,3,1,1,1,1,4,1,1,1,1,2,1
Adrián De la Fuente,20,187,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,6,3,2,1,11,4,10,1,7,7,1,1,8,3,1,12,8,7,5,10,2,10,13,13,7,9,1,8,7,4,7,9,8,10,5,9,6,6,2,3,1,2,1,1,3,2,1,2,2
Jon Díez,19,175,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,6,3,3,11,11,6,9,5,9,7,5,4,9,2,2,12,13,6,3,12,2,8,11,11,9,10,3,13,9,12,12,11,15,6,14,13,12,9,2,3,3,3,1,1,2,3,2,1,3
Gontzal Arana,20,175,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,6,3,2,7,8,4,7,3,3,8,1,1,9,1,2,10,13,6,7,7,2,7,5,12,5,7,2,10,5,8,14,14,12,6,12,14,11,8,2,2,3,1,3,2,3,1,3,2,1
Adrián Rojo,20,177,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1,6,4,6,12,5,13,6,9,6,2,2,11,2,2,10,13,10,7,14,3,11,11,12,4,12,3,11,10,4,10,13,10,6,7,12,7,6,1,3,1,2,1,1,1,1,4,1,1
José Javier Gallego,19,188,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,3,2,6,4,1,6,1,5,3,3,11,5,1,9,6,6,12,18,3,12,16,12,5,16,2,9,7,10,10,11,8,9,10,14,11,14,11,3,1,1,2,2,3,1,1,2,1,3
Iker Ramírez,18,179,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,5,2,1,3,1,3,3,1,1,3,1,7,3,1,8,9,7,6,6,11,8,5,2,6,2,9,15,5,12,6,15,8,8,11,7,9,6,7,10,8,7,6,9,7,7,9,16,7
Jorge Esnaola,19,191,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,2,1,5,3,3,5,2,6,2,8,9,6,2,10,4,8,10,12,7,10,11,14,4,8,7,10,7,5,5,10,9,14,16,14,11,12,11,2,1,2,2,1,1,1,2,3,4,1
Xabi Zabala,19,185,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,6,4,8,8,12,7,9,4,7,6,3,9,10,6,8,14,8,10,10,9,10,11,6,14,4,12,8,10,6,13,14,11,11,16,13,9,14,9,3,1,3,2,1,1,4,3,2,2,3
Iñaki Santisteban,18,181,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,4,6,7,6,9,8,11,4,6,6,2,6,7,6,4,14,5,9,5,9,5,7,17,14,6,9,4,12,12,15,9,7,9,12,14,7,13,10,3,1,1,2,1,1,3,2,2,2,3
Imanol Undabarrena,19,187,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,4,3,8,6,1,6,1,2,4,4,9,3,1,6,10,7,11,17,8,8,12,10,10,5,6,10,10,6,10,13,11,14,15,18,10,9,8,3,3,2,1,2,1,2,3,2,1,2
Jon Hernández,19,177,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,6,3,7,8,10,8,14,5,8,9,1,2,8,8,3,12,11,9,10,9,5,5,12,13,7,10,3,14,7,11,15,14,12,3,13,14,16,11,1,2,3,1,2,2,2,2,1,3,2
Ander Albisu,19,180,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,4,6,2,7,13,3,7,3,4,3,2,2,7,11,3,11,11,4,7,5,4,7,12,7,11,8,1,8,7,6,15,12,15,10,9,15,13,8,3,3,1,2,1,1,3,4,1,3,1
Ander Gorrotxategi,19,189,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,6,3,4,6,7,6,10,6,7,6,4,4,5,3,8,8,8,9,7,9,6,10,5,8,7,9,6,17,9,13,8,8,12,14,6,8,9,7,1,4,2,3,2,1,1,4,1,1,3
Roberto Domínguez,19,183,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,6,3,2,4,4,5,7,5,2,6,1,4,7,2,1,6,16,7,9,10,4,8,6,11,7,6,5,5,12,10,11,12,8,12,14,14,10,8,1,1,4,3,3,1,3,2,3,3,2
Gorka Franco,19,161,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,6,3,7,4,4,7,12,6,4,7,2,5,14,13,4,14,9,11,8,6,5,10,5,14,8,8,5,14,10,10,8,9,13,2,12,6,7,5,4,2,3,3,3,3,1,2,3,1,1
Iván Santamaría,19,176,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6,3,4,5,6,6,12,6,6,5,3,10,8,5,9,9,7,11,8,13,11,10,18,3,13,7,10,15,12,11,12,12,13,7,14,12,10,8,1,2,3,4,2,1,2,1,2,2,4
Igor Orbegozo,19,187,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,6,3,4,10,6,5,9,3,6,7,2,4,9,8,1,13,14,7,8,5,4,5,16,7,7,6,1,7,9,9,14,13,13,9,14,15,13,10,3,1,2,4,4,2,1,1,1,3,3
Íñigo Arregui,17,185,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,3,3,3,1,2,4,4,1,1,2,2,7,3,1,6,6,5,8,5,10,7,11,1,6,2,9,12,7,7,11,10,7,9,10,11,6,9,9,9,10,1,7,8,13,9,13,6,11
Aitor Bilbao,18,184,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,6,3,5,7,2,7,1,5,5,5,12,9,3,9,8,13,14,14,5,10,14,5,9,12,11,11,10,5,8,10,12,10,13,13,12,11,9,2,1,2,1,2,3,2,1,1,1,2
Héctor,18,183,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,6,3,2,6,8,7,11,1,6,10,1,8,8,5,7,12,9,10,9,12,5,13,9,11,7,12,5,14,9,10,8,11,8,11,7,11,13,13,3,2,2,1,1,2,2,1,3,3,3
Javier Olabe,18,185,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,6,3,2,4,14,7,5,3,6,5,1,5,7,7,1,10,10,9,6,10,4,12,16,11,9,9,3,5,7,5,16,13,14,10,14,14,13,9,1,1,2,3,1,3,2,1,1,2,4
Borja Díez,17,169,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,6,5,1,6,10,3,10,1,6,2,1,1,5,2,5,13,13,9,5,3,2,9,3,10,10,6,3,12,8,8,10,12,12,3,9,10,10,7,3,3,3,2,2,3,2,2,2,1,1
Sergio Murillo,17,186,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,3,2,3,1,1,5,4,1,1,3,2,9,3,3,7,16,12,9,6,10,13,4,3,6,2,8,8,11,7,11,13,7,11,4,10,6,6,10,7,11,2,13,7,11,12,11,6,9
Sergio Alcalde,17,174,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6,3,6,6,7,6,11,9,6,8,4,9,15,7,8,11,16,10,7,11,7,13,12,11,11,10,9,13,9,9,11,12,13,8,13,11,9,8,1,1,3,2,3,1,3,2,1,2,4
Xabi Martínez,17,177,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,6,5,5,6,7,6,10,6,11,7,3,5,12,5,3,14,11,8,6,11,5,12,5,15,8,11,3,14,12,10,10,12,14,11,10,9,8,7,3,4,1,3,3,3,2,1,1,1,2
César Orbegozo,16,183,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,3,6,5,6,8,6,9,4,6,4,6,4,6,3,6,12,8,7,4,7,4,9,4,13,4,5,5,8,4,12,11,8,11,12,8,10,15,9,3,1,2,2,2,1,1,1,3,3,2
Jon Aguado,17,180,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,6,3,8,13,11,9,10,8,6,6,3,5,8,7,6,9,14,9,7,9,7,9,12,9,12,11,6,9,10,13,13,12,12,7,11,13,14,8,2,1,1,3,1,3,3,3,2,3,2
Ibon Arambarri,17,172,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,6,4,7,6,7,10,2,6,7,8,11,6,6,11,12,11,10,10,9,12,11,13,5,13,5,9,9,8,10,13,11,13,8,15,9,15,10,3,1,1,1,3,1,3,2,1,2,2
Pedro Arana,17,177,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,4,1,3,4,3,6,1,5,3,5,11,8,2,12,6,11,11,7,4,11,11,5,4,12,1,10,7,4,11,11,10,14,5,14,12,12,10,4,3,2,2,3,1,2,1,3,4,2
Igor Martínez,17,180,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,6,4,6,11,9,8,10,11,1,4,2,2,7,6,3,12,11,8,5,7,5,8,17,12,6,8,3,14,6,10,15,13,11,11,9,11,12,7,2,1,1,1,2,1,2,3,1,1,3
